award_unique_key|award_id_fain|federal_action_obligation|total_obligated_amount|transaction_description|prime_award_base_transaction_description|action_date|awarding_agency_name|awarding_sub_agency_name|recipient_name|recipient_parent_name|recipient_country_name|primary_place_of_performance_country_name|subaward_number|subaward_amount|subaward_action_date|subaward_type|subaward_description|subawardee_name|subawardee_country_name
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR81021GR3005_1900|SBR81021GR3005|0.00|34500.00|PAS RECIFE REQUESTS A NO-COST EXTENSION FOR THE FUTURAS CIENTISTAS PROJECT TO GIVE ADDITIONAL TIME FOR PROJECT COMPLETION IN IN-PERSON FORMAT, WHICH WAS LIMITED DURING THE GRANT PERIOD DUE TO COVID-19 RESTRICTIONS, AND MAKE RELATED BUDGET ADJUSTMENTS.|PAS RECIFE REQUESTS A NO-COST EXTENSION FOR THE FUTURAS CIENTISTAS PROJECT TO GIVE ADDITIONAL TIME FOR PROJECT COMPLETION IN IN-PERSON FORMAT, WHICH WAS LIMITED DURING THE GRANT PERIOD DUE TO COVID-19 RESTRICTIONS, AND MAKE RELATED BUDGET ADJUSTMENTS.|2022-09-22|Department of State|Department of State|FUNDACAO DE DESENVOLVIMENTO DA PESQUISA|FUNDACAO DE DESENVOLVIMENTO DA PESQUISA|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0040_1900|SBR25022GR0040|103040.00|103040.00|AMPLIFY THE ENGLISH LANGUAGE LEARNING AND TEACHING, PROMOTE AMERICAN CULTURE AND VALUES THROUGH ENHANCEMENTS IN THE AREA OF STRATEGIC PROGRAMMING, TECHNOLOGY, MEDIA, AND DESIGNING AND FURNISHING AT SEVEN BINATIONAL CENTERS IN BRAZIL.|AMPLIFY THE ENGLISH LANGUAGE LEARNING AND TEACHING, PROMOTE AMERICAN CULTURE AND VALUES THROUGH ENHANCEMENTS IN THE AREA OF STRATEGIC PROGRAMMING, TECHNOLOGY, MEDIA, AND DESIGNING AND FURNISHING AT SEVEN BINATIONAL CENTERS IN BRAZIL.|2022-09-28|Department of State|Department of State|COLIGACAO DAS ENTIDADES DE EDUCACAO E CULTURA BRASIL - ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SPRMCO22CA0294_1900|SPRMCO22CA0294|3075606.00|3075606.00|:  VULNERABLE VENEZUELANS LIVING ON THE STREETS, IN RENTALS AND IN INFORMAL SETTLEMENTS IN RORAIMA STATE, BRAZIL ARE ABLE TO LIVE WITH DIGNITY.|:  VULNERABLE VENEZUELANS LIVING ON THE STREETS, IN RENTALS AND IN INFORMAL SETTLEMENTS IN RORAIMA STATE, BRAZIL ARE ABLE TO LIVE WITH DIGNITY.|2022-09-28|Department of State|Department of State|CARITAS BRASILEIRA|CARITAS BRASILEIRA|BRAZIL|BRAZIL|||||||
ASST_NON_22IC11132762171_12C2|22IC11132762171|99733.00|518613.00|BRAZIL CONCESSIONS AND SCIENCE PARTNERSHIPS|BRAZIL CONCESSIONS AND SCIENCE PARTNERSHIPS|2022-09-22|Department of Agriculture|Forest Service|IPE - INSTITUTO DE PESQUISAS ECOLOGICAS||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_72051222GR00001_7200|72051222GR00001|100000.00|100000.00|AL20221138 RESPONSE TO DISASTER DECLARATION FOR BAHIA STATE FLOODING, BRAZIL|AL20221138 RESPONSE TO DISASTER DECLARATION FOR BAHIA STATE FLOODING, BRAZIL|2022-01-09|Agency for International Development|Agency for International Development|AGENCIA ADVENTISTA DE DESENV E RECURS ASSIST DO BRASIL|AGENCIA ADVENTISTA DE DESENV E RECURS ASSIST DO BRASIL|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_22IC11132762171_12C2|22IC11132762171|74939.00|518613.00|BRAZIL STRATEGY FOR VOLUNTEERISM IN INTEGRATED FIRE MANAGEMENT|BRAZIL STRATEGY FOR VOLUNTEERISM IN INTEGRATED FIRE MANAGEMENT|2022-05-13|Department of Agriculture|Forest Service|IPE - INSTITUTO DE PESQUISAS ECOLOGICAS||BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220115_8011_BRA_6000||49.79|49.79|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE RAILROAD RETIREMENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE RAILROAD RETIREMENT ACCOUNT.|2022-01-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
