,award_unique_key,award_id_fain,federal_action_obligation,total_obligated_amount,transaction_description,prime_award_base_transaction_description,action_date,awarding_agency_name,awarding_sub_agency_name,recipient_name,recipient_parent_name,recipient_country_name,primary_place_of_performance_country_name,subaward_number,subaward_amount,subaward_action_date,subaward_type,subaward_description,subawardee_name,subawardee_country_name,year,year_quarter
997,ASST_NON_SBR82017GR0008_1900,SBR82017GR0008,7275.0,0.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q3
952,ASST_NON_SBR81017IN0003_1900,SBR81017IN0003,5000.0,5000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q3
996,ASST_NON_SBR82017GR0008_1900,SBR82017GR0008,-7275.0,0.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-09-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q3
999,ASST_NON_SBR82017IN0014_1900,SBR82017IN0014,7275.0,7275.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-09-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q3
422,ASST_NON_SBR25018IN0008_1900,SBR25018IN0008,300.0,300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
421,ASST_NON_SBR25018IN0007_1900,SBR25018IN0007,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
416,ASST_NON_SBR25018IN0002_1900,SBR25018IN0002,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
423,ASST_NON_SBR25018IN0009_1900,SBR25018IN0009,570.0,570.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
420,ASST_NON_SBR25018IN0006_1900,SBR25018IN0006,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
417,ASST_NON_SBR25018IN0003_1900,SBR25018IN0003,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
415,ASST_NON_SBR25018IN0001_1900,SBR25018IN0001,620.0,620.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
418,ASST_NON_SBR25018IN0004_1900,SBR25018IN0004,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
419,ASST_NON_SBR25018IN0005_1900,SBR25018IN0005,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-11-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
1001,ASST_NON_SBR82018IN0001_1900,SBR82018IN0001,260.0,260.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-12-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
425,ASST_NON_SBR25018IN0011_1900,SBR25018IN0011,250.0,250.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-12-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
428,ASST_NON_SBR25018IN0014_1900,SBR25018IN0014,250.0,250.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-12-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
427,ASST_NON_SBR25018IN0013_1900,SBR25018IN0013,250.0,250.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-12-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
424,ASST_NON_SBR25018IN0010_1900,SBR25018IN0010,250.0,250.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-12-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
426,ASST_NON_SBR25018IN0012_1900,SBR25018IN0012,250.0,250.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2017-12-20,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2017,2017Q4
1376,ASST_NON_SPA10018IN0028_1900,SPA10018IN0028,16530.0,16530.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-03-14,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,PARAGUAY,,,,,,,,2018,2018Q1
1330,ASST_NON_SGG80018IN0055_1900,SGG80018IN0055,971.25,971.25,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-05-29,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,GEORGIA,,,,,,,,2018,2018Q2
433,ASST_NON_SBR25018IN0020_1900,SBR25018IN0020,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-05-30,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
435,ASST_NON_SBR25018IN0022_1900,SBR25018IN0022,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
434,ASST_NON_SBR25018IN0021_1900,SBR25018IN0021,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
431,ASST_NON_SBR25018IN0018_1900,SBR25018IN0018,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
430,ASST_NON_SBR25018IN0017_1900,SBR25018IN0017,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
429,ASST_NON_SBR25018IN0016_1900,SBR25018IN0016,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
432,ASST_NON_SBR25018IN0019_1900,SBR25018IN0019,100.0,100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-06-13,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q2
436,ASST_NON_SBR25018IN0024_1900,SBR25018IN0024,2121.0,2121.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-07-30,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
437,ASST_NON_SBR25018IN0025_1900,SBR25018IN0025,2121.0,2121.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-07-31,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
438,ASST_NON_SBR25018IN0026_1900,SBR25018IN0026,6300.0,6300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-08-13,Department of State,Department of State,REDACTED DUE TO PII,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
